TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority
ALC_DISPLAY_TC_001,M1: Điều kiện hiển thị,High,"Verify popup hiển thị khi giỏ hàng có 1 SP rượu và nhấn ""Đặt hàng""","User đã đăng nhập, giỏ hàng có 1 SP rượu, đã nhập địa chỉ giao hàng, đang ở trang ""Xác nhận thanh toán""","1. Tại trang ""Xác nhận thanh toán"", xác nhận giỏ hàng hiển thị SP rượu
2. Nhấn nút ""Đặt hàng""","Giỏ hàng: 1x Rượu vang đỏ Chile 750ml (149,000đ)","1. Giỏ hàng hiển thị đúng SP rượu
2. Popup ""Xác nhận thông tin mua rượu"" hiển thị đầy đủ: Tên, Địa chỉ cư trú, Checkbox, Hint text, Button Xác nhận",Critical
ALC_DISPLAY_TC_002,M1: Điều kiện hiển thị,High,Verify popup hiển thị khi giỏ hàng có nhiều SP rượu lẫn SP thường,"User đã đăng nhập, giỏ hàng có 2 SP rượu + 1 SP thường, đã nhập địa chỉ giao hàng, đang ở trang ""Xác nhận thanh toán""","1. Tại trang ""Xác nhận thanh toán"", xác nhận giỏ hàng có cả SP rượu và SP thường
2. Nhấn nút ""Đặt hàng""",Giỏ hàng: 1x Rượu vang đỏ Chile 750ml + 1x Rượu Sake Nhật 300ml + 1x Nước suối Aquafina 500ml,"1. Giỏ hàng hiển thị đúng các SP
2. Popup xác nhận hiển thị (chỉ 1 lần, không duplicate)",High
ALC_DISPLAY_TC_003,M1: Điều kiện hiển thị,High,Verify popup KHÔNG hiển thị khi giỏ hàng chỉ có SP thường,"User đã đăng nhập, giỏ hàng chỉ có SP thường, đang ở trang ""Xác nhận thanh toán""","1. Tại trang ""Xác nhận thanh toán"", xác nhận giỏ hàng không có SP rượu
2. Nhấn nút ""Đặt hàng""",Giỏ hàng: 1x Nước suối Aquafina 500ml + 1x Bánh mì sandwich,"1. Giỏ hàng chỉ hiển thị SP thường
2. Hệ thống tiếp tục đặt hàng bình thường, popup KHÔNG hiển thị",Critical
ALC_DISPLAY_TC_004,M1: Điều kiện hiển thị,High,"Verify nhấn ""Đặt hàng"" nhiều lần liên tục — popup không duplicate","User đã đăng nhập, giỏ hàng có SP rượu, đang ở trang ""Xác nhận thanh toán""","1. Tại trang ""Xác nhận thanh toán"", nhấn nút ""Đặt hàng"" 2 lần liên tục nhanh (double click)",Giỏ hàng: 1x Rượu vang đỏ Chile 750ml,"1. Popup xác nhận hiển thị chỉ 1 lần, không bị 2 popup chồng lên nhau",Medium
ALC_FORM_TC_001,M2.1: Trường Tên,Medium,Verify trường Tên được autofill đúng từ địa chỉ giao hàng,"User đã nhập địa chỉ giao hàng với Tên: ""Nguyễn Văn An"", giỏ hàng có SP rượu, đang ở trang ""Xác nhận thanh toán""","1. Nhấn nút ""Đặt hàng""
2. Kiểm tra giá trị trường ""Tên"" trên popup",Tên giao hàng: Nguyễn Văn An,"1. Popup hiển thị
2. Trường ""Tên"" hiển thị autofill: ""Nguyễn Văn An"" — khớp tên giao hàng",High
ALC_FORM_TC_002,M2.1: Trường Tên,Medium,Verify user có thể chỉnh sửa trường Tên sau khi autofill,"Popup đã hiển thị, trường Tên autofill ""Nguyễn Văn An""","1. Click vào trường ""Tên""
2. Xóa giá trị autofill
3. Nhập tên mới: ""Trần Thị Bình""
4. Xác nhận trường hiển thị giá trị mới",Tên autofill: Nguyễn Văn An → Tên chỉnh sửa: Trần Thị Bình,"1. Trường ""Tên"" có thể focus/click
2. Giá trị autofill bị xóa
3. Giá trị mới được nhập thành công
4. Trường hiển thị: ""Trần Thị Bình""",High
ALC_FORM_TC_003,M2.1: Trường Tên,Medium,Verify trường Tên required — để trống rồi nhấn Xác nhận,"Popup đã hiển thị, checkbox đã check, trường Địa chỉ có giá trị","1. Xóa toàn bộ nội dung trường ""Tên"" (để trống)
2. Nhấn nút ""Xác nhận""","Trường Tên: """" (rỗng)","1. Trường ""Tên"" trống
2. Hệ thống hiển thị lỗi required cho trường Tên, không cho phép xác nhận",High
ALC_FORM_TC_004,M2.1: Trường Tên,Medium,Verify trường Tên — chỉ nhập khoảng trắng (whitespace-only),"Popup đã hiển thị, checkbox đã check, trường Địa chỉ có giá trị","1. Xóa toàn bộ nội dung trường ""Tên""
2. Nhập 3 khoảng trắng: ""   ""
3. Nhấn nút ""Xác nhận""","Trường Tên: ""   "" (3 ký tự space)","1. Trường ""Tên"" hiển thị trống/khoảng trắng
2-3. Hệ thống trim whitespace và báo lỗi required",Medium
ALC_FORM_TC_005,M2.1: Trường Tên,Medium,Verify trường Tên — nhập XSS injection,"Popup đã hiển thị, checkbox đã check, trường Địa chỉ có giá trị","1. Xóa giá trị autofill trường ""Tên""
2. Nhập: `<script>alert('XSS')</script>`
3. Nhấn nút ""Xác nhận""",Trường Tên: `<script>alert('XSS')</script>`,"1. Giá trị autofill bị xóa
2. Giá trị được nhập vào trường
3. Hệ thống KHÔNG thực thi script — sanitize hoặc báo lỗi",High
ALC_FORM_TC_006,M2.1: Trường Tên,Medium,Verify trường Tên — nhập SQL injection,"Popup đã hiển thị, checkbox đã check, trường Địa chỉ có giá trị","1. Xóa giá trị autofill trường ""Tên""
2. Nhập: `' OR 1=1--`
3. Nhấn nút ""Xác nhận""",Trường Tên: `' OR 1=1--`,"1-2. Giá trị được nhập vào trường
3. Hệ thống KHÔNG bị SQL injection — sanitize hoặc báo lỗi",High
ALC_FORM_TC_007,M2.1: Trường Tên,Medium,Verify trường Tên — nhập Unicode/Emoji,"Popup đã hiển thị, checkbox đã check, trường Địa chỉ có giá trị","1. Xóa giá trị autofill trường ""Tên""
2. Nhập: ""Nguyễn 😀 Văn An""
3. Nhấn nút ""Xác nhận""","Trường Tên: ""Nguyễn 😀 Văn An""","1-2. Giá trị được nhập vào trường
3. Hệ thống chấp nhận Unicode/Emoji hoặc báo lỗi ký tự không hợp lệ",Low
ALC_FORM_TC_008,M2.1: Trường Tên,Medium,Verify trường Tên — leading/trailing spaces,"Popup đã hiển thị, checkbox đã check, trường Địa chỉ có giá trị","1. Xóa giá trị autofill trường ""Tên""
2. Nhập: ""  Nguyễn Văn An  "" (2 space đầu + 2 space cuối)
3. Nhấn nút ""Xác nhận""","Trường Tên: ""  Nguyễn Văn An  ""","1-2. Giá trị được nhập
3. Hệ thống trim spaces trước khi lưu. customer_note lưu: ""Nguyễn Văn An""",Low
ALC_FORM_TC_009,M2.1: Trường Tên,Medium,Verify trường Tên — autofill khi địa chỉ giao hàng chưa có tên,"User chưa nhập tên trong địa chỉ giao hàng, giỏ hàng có SP rượu","1. Tại trang ""Xác nhận thanh toán"", nhấn ""Đặt hàng""
2. Kiểm tra trường ""Tên"" trên popup",Tên giao hàng: (rỗng),"1. Popup hiển thị
2. Trường ""Tên"" hiển thị rỗng, cho phép user nhập tay",Medium
ALC_FORM_TC_010,M2.2: Trường Địa chỉ,Medium,Verify trường Địa chỉ autofill đúng từ địa chỉ giao hàng,"User đã nhập địa chỉ giao hàng: ""123 Nguyễn Huệ, P. Bến Nghé, Q1, TP.HCM"", giỏ hàng có SP rượu","1. Nhấn ""Đặt hàng""
2. Kiểm tra trường ""Địa chỉ cư trú"" trên popup","Địa chỉ giao hàng: 123 Nguyễn Huệ, P. Bến Nghé, Q1, TP.HCM","1. Popup hiển thị
2. Trường ""Địa chỉ cư trú"" hiển thị: ""123 Nguyễn Huệ, P. Bến Nghé, Q1, TP.HCM""",High
ALC_FORM_TC_011,M2.2: Trường Địa chỉ,Medium,Verify user có thể chỉnh sửa trường Địa chỉ sau khi autofill,"Popup đã hiển thị, trường Địa chỉ autofill ""123 Nguyễn Huệ, Q1, TP.HCM""","1. Click vào trường ""Địa chỉ cư trú""
2. Xóa giá trị autofill
3. Nhập địa chỉ mới: ""456 Lê Lợi, P. Bến Thành, Q1, TP.HCM""
4. Xác nhận trường hiển thị giá trị mới","Địa chỉ autofill: 123 Nguyễn Huệ, Q1 → Chỉnh sửa: 456 Lê Lợi, P. Bến Thành, Q1, TP.HCM","1. Trường có thể focus/click
2. Giá trị autofill bị xóa
3. Giá trị mới nhập thành công
4. Trường hiển thị: ""456 Lê Lợi, P. Bến Thành, Q1, TP.HCM""",High
ALC_FORM_TC_012,M2.2: Trường Địa chỉ,Medium,Verify trường Địa chỉ required — để trống rồi nhấn Xác nhận,"Popup đã hiển thị, checkbox đã check, trường Tên có giá trị","1. Xóa toàn bộ nội dung trường ""Địa chỉ cư trú"" (để trống)
2. Nhấn nút ""Xác nhận""","Trường Địa chỉ: """" (rỗng)","1. Trường ""Địa chỉ cư trú"" trống
2. Hệ thống hiển thị lỗi required, không cho phép xác nhận",High
ALC_FORM_TC_013,M2.2: Trường Địa chỉ,Medium,Verify trường Địa chỉ — chỉ nhập khoảng trắng,"Popup đã hiển thị, checkbox đã check, trường Tên có giá trị","1. Xóa toàn bộ trường ""Địa chỉ cư trú""
2. Nhập 5 khoảng trắng: ""     ""
3. Nhấn nút ""Xác nhận""","Trường Địa chỉ: ""     "" (5 ký tự space)","1-2. Trường hiển thị trống/khoảng trắng
3. Hệ thống trim whitespace và báo lỗi required",Medium
ALC_FORM_TC_014,M2.2: Trường Địa chỉ,Medium,Verify trường Địa chỉ — nhập XSS injection,"Popup đã hiển thị, checkbox đã check, trường Tên có giá trị","1. Xóa giá trị autofill trường ""Địa chỉ cư trú""
2. Nhập: `<img src=x onerror=alert('XSS')>`
3. Nhấn nút ""Xác nhận""",Trường Địa chỉ: `<img src=x onerror=alert('XSS')>`,"1-2. Giá trị được nhập vào trường
3. Hệ thống KHÔNG thực thi script — sanitize hoặc báo lỗi",High
ALC_FORM_TC_015,M2.2: Trường Địa chỉ,Medium,Verify trường Địa chỉ — nhập SQL injection,"Popup đã hiển thị, checkbox đã check, trường Tên có giá trị","1. Xóa giá trị autofill trường ""Địa chỉ cư trú""
2. Nhập: `'; DROP TABLE orders;--`
3. Nhấn nút ""Xác nhận""",Trường Địa chỉ: `'; DROP TABLE orders;--`,"1-2. Giá trị được nhập vào trường
3. Hệ thống KHÔNG bị SQL injection — sanitize hoặc báo lỗi",High
ALC_FORM_TC_016,M2.2: Trường Địa chỉ,Medium,Verify trường Địa chỉ — nhập chuỗi rất dài,"Popup đã hiển thị, checkbox đã check, trường Tên có giá trị","1. Xóa giá trị autofill trường ""Địa chỉ cư trú""
2. Nhập chuỗi 500 ký tự: ""A"" lặp lại 500 lần
3. Nhấn nút ""Xác nhận""","Trường Địa chỉ: ""AAAAAAAAAA..."" (500 ký tự ""A"")","1-2. Trường cho phép nhập hoặc giới hạn tại max length
3. Hệ thống xử lý đúng — truncate/báo lỗi nếu có max length, hoặc lưu thành công",Medium
